"","Group","N","Mean","SD","SE","CI","Task","rank"
"1","Carrier",10,0.523690481190584,0.207524699438808,0.0656250720968499,0.148454226903038,"Motor Processing",1
"2","Non-carrier",24,0.437692132621341,0.221265977826616,0.0451657285927655,0.0934324281835455,"Motor Processing",1
"3","Carrier",8,1.21564100966443,0.537311196222308,0.189968195228125,0.449203401467737,"Attention",2
"4","Non-carrier",19,0.843920014271164,0.383101853155735,0.087889592788895,0.184649182597999,"Attention",2
"5","Carrier",8,1.18779255100499,0.326286910875597,0.115359843646273,0.272782683945928,"Choice Reaction",3
"6","Non-carrier",23,1.06342894066783,0.351017921674936,0.0731922962615814,0.151791531994946,"Choice Reaction",3
"7","Carrier",10,1.17374887157648,0.439618510134607,0.139019579359517,0.314484137217326,"Simple Processing",4
"8","Non-carrier",24,1.06131357766029,0.440947316266955,0.0900079940253063,0.186195721839002,"Simple Processing",4
"9","Carrier",7,1.21920837981059,0.350484225581253,0.132470585619865,0.324143845881363,"Complex Processing",5
"10","Non-carrier",20,1.08991810508068,0.389250479858187,0.0870390533237318,0.182174832279498,"Complex Processing",5
"11","Carrier",10,1.22728015055316,0.626822158464575,0.198218570861105,0.448401559873072,"Abstract Matching",6
"12","Non-carrier",24,1.10843028931533,0.511144211182687,0.104336875197916,0.215837270925511,"Abstract Matching",6
