"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",6,0.473060253796669,0.220981464341995,0.0902153050418207,0.231905824436894,"Motor Processing",1
"Non-carrier",10,0.442373464165541,0.16422794027569,0.0519334346709283,0.117481591229553,"Motor Processing",1
"Carrier",4,1.32495390507367,0.375809411170567,0.187904705585284,0.597996636035308,"Choice Reaction",3
"Non-carrier",9,1.20128023249277,0.330310978664941,0.11010365955498,0.253899494234896,"Choice Reaction",3
"Carrier",6,1.25970111660815,0.537844332902884,0.219574029443279,0.564433011664367,"Simple Processing",4
"Non-carrier",10,1.25848253238081,0.562145391180184,0.177765981229571,0.402134587740326,"Simple Processing",4
"Carrier",4,1.49555948909432,0.33788570587039,0.168942852935195,0.5376515581277,"Attention",2
"Non-carrier",7,0.995170265672997,0.471333742535155,0.178147409608767,0.435911007822468,"Attention",2
"Carrier",4,1.27855507087406,0.383859934142601,0.191929967071301,0.610806814579285,"Complex Processing",5
"Non-carrier",6,1.37224567615654,0.469880797878553,0.191828032455715,0.493109655796515,"Complex Processing",5
"Carrier",6,1.40200070547274,0.656873169738031,0.26816734859713,0.689346115214534,"Abstract Matching",6
"Non-carrier",10,1.32656746741254,0.656321120731174,0.207546961798487,0.469503846249452,"Abstract Matching",6
