"Group","N","Value","SD","SE","CI","Task","rank"
"HOA",33,0.961594162892864,0.0707545432220721,0.0123167850323144,0.0250884701165516,"Choice Reaction",2
"MCI",16,0.856830194965774,0.203688487257547,0.0509221218143868,0.108537933400214,"Choice Reaction",2
"HOA",33,0.957555397197055,0.0322775179534809,0.0056187946654099,0.0114451102040292,"Simple Processing",3
"MCI",16,0.943604419206845,0.0462684753360391,0.0115671188340098,0.024654730182186,"Simple Processing",3
"HOA",33,0.855635001702417,0.0266663462659553,0.00464201505088048,0.0094554752379821,"Attention",1
"MCI",16,0.816011235955056,0.0575671391346045,0.0143917847836511,0.0306753631369073,"Attention",1
"HOA",33,0.915029540002608,0.0580834120437238,0.0101110242184804,0.0205954823671553,"Complex Processing",4
"MCI",16,0.743401868712283,0.161405403377941,0.0403513508444853,0.0860068684202012,"Complex Processing",4
"HOA",33,0.963512677798392,0.0352586001090918,0.00613773445927001,0.0125021559733911,"Abstract Matching",5
"MCI",16,0.93983325037332,0.0837069822725504,0.0209267455681376,0.0446043023312519,"Abstract Matching",5
