"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",10,0.870229663686711,0.204006896942036,0.0645126452720075,0.145937742593131,"Choice Reaction",2
"Non-carrier",24,0.936635843357221,0.121981390100894,0.0248993469885479,0.0515082236423242,"Choice Reaction",2
"Carrier",10,0.937219466332641,0.0485860675461786,0.0153642635996712,0.034756378953116,"Simple Processing",3
"Non-carrier",24,0.955638769469808,0.0362516306158547,0.00739983311272505,0.0153077210844696,"Simple Processing",3
"Carrier",10,0.812359550561798,0.0519101664045203,0.0164154359556638,0.03713429602756,"Attention",1
"Non-carrier",24,0.841292134831461,0.0431127359650626,0.00880035037747835,0.0182049117827247,"Attention",1
"Carrier",10,0.782701453292811,0.152210484753998,0.0481331815580968,0.108884821429915,"Complex Processing",4
"Non-carrier",24,0.850417776949217,0.139271571497304,0.028428690486995,0.0588092269301698,"Complex Processing",4
"Carrier",10,0.922448979591837,0.0926769326036811,0.0293070193585551,0.0662970837622211,"Abstract Matching",5
"Non-carrier",24,0.965841214534594,0.0448702032270611,0.00915909188010691,0.0189470251223105,"Abstract Matching",5
