"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",6,0.819155534441089,0.257493559443482,0.105121305448256,0.270222918323665,"Choice Reaction",2
"Non-carrier",10,0.879434991280585,0.175497478109898,0.0554971754442821,0.125543332946351,"Choice Reaction",2
"Carrier",6,0.941054467030698,0.0542816366793016,0.0221603853779054,0.0569650841231442,"Simple Processing",3
"Non-carrier",10,0.945134390512533,0.0438642794276216,0.0138711030913351,0.0313786152139761,"Simple Processing",3
"Carrier",6,0.805243445692884,0.0650004289136079,0.0265363139833983,0.0682137667104655,"Attention",1
"Non-carrier",10,0.82247191011236,0.0552482064856503,0.0174710169133942,0.0395221860520032,"Attention",1
"Carrier",6,0.735538286710886,0.176570442386397,0.0720845812506945,0.185299315192485,"Complex Processing",4
"Non-carrier",10,0.748120017913121,0.161347221551373,0.0510224714242143,0.115420849195953,"Complex Processing",4
"Carrier",6,0.891156462585034,0.1107820570657,0.0452265854111419,0.116258638945736,"Abstract Matching",5
"Non-carrier",10,0.969039323046292,0.0482965809153453,0.0152727198891111,0.0345492926925632,"Abstract Matching",5
