"Group","Task","Value","SE","Name","rank"
"1HYA","Choice Reaction",437.1034,10.4345,"Choice Reaction",3
"2HOA","Choice Reaction",514.9242,12.4071,"Choice Reaction",3
"1HYA","Complex Processing",529.8793,8.7375,"Complex Processing",5
"2HOA","Complex Processing",618.5303,12.7511,"Complex Processing",5
"1HYA","Complex Reasoning",1196.1552,78.9211,"Abstract Matching",6
"2HOA","Complex Reasoning",1936.2121,86.272,"Abstract Matching",6
"1HYA","CPT",408.1034,9.6726,"Attention",2
"2HOA","CPT",447.803,11.3423,"Attention",2
"1HYA","Reaction",310.2759,10.8278,"Motor Processing",1
"2HOA","Reaction",334.7576,8.326,"Motor Processing",1
"1HYA","Simple Processing",729.2414,28.4396,"Simple Processing",4
"2HOA","Simple Processing",952.9697,36.2763,"Simple Processing",4
