"Group","N","Value","SD","SE","CI","Task","rank"
"HOA",33,334.757575757576,47.8294694089261,8.3260419203106,16.9595924065272,"Motor Processing",1
"MCI",16,366.1875,136.42530007297,34.1063250182426,72.6959109608471,"Motor Processing",1
"HOA",33,514.924242424242,71.2733647230113,12.4071002630573,25.2724362214741,"Choice Reaction",3
"MCI",16,620.375,123.615330764432,30.9038326911081,65.8699601455176,"Choice Reaction",3
"HOA",33,952.969696969697,208.391231348707,36.2762570749044,73.8923176118033,"Simple Processing",4
"MCI",16,1152.875,373.236408549148,93.309102137287,198.883643347111,"Simple Processing",4
"HOA",33,447.80303030303,65.1567748053132,11.3423386277422,23.1035877436636,"Attention",2
"MCI",16,449.28125,33.6382563707851,8.40956409269628,17.9245615637333,"Attention",2
"HOA",33,618.530303030303,73.2495669136023,12.7511129080899,25.9731670487129,"Complex Processing",5
"MCI",16,664.6875,90.5475703704964,22.6368925926241,48.2493944294341,"Complex Processing",5
"HOA",33,1936.21212121212,495.594939666947,86.2720054007276,175.730324407912,"Abstract Matching",6
"MCI",16,2354.9375,804.502348763922,201.12558719098,428.689041418658,"Abstract Matching",6
