"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",10,360.8,170.777665726848,54.0046397183715,122.166982563251,"Motor Processing",1
"Non-carrier",24,334.9375,46.361367092609,9.46347442956262,19.5766883997208,"Motor Processing",1
"Carrier",10,622.7,161.320798411116,51.0141156935999,115.401947220093,"Choice Reaction",3
"Non-carrier",24,544,79.7986596814541,16.2888331981306,33.6960187601593,"Choice Reaction",3
"Carrier",10,1108.85,403.696671744737,127.660096654271,288.78720204997,"Simple Processing",4
"Non-carrier",24,1013.20833333333,293.253485715103,59.8601171078798,123.830086815791,"Simple Processing",4
"Carrier",10,434.95,29.5432357364216,9.34239143783741,21.1339577087685,"Attention",2
"Non-carrier",24,451.1875,46.6799492613636,9.52850474244577,19.7112138513744,"Attention",2
"Carrier",10,648.8,86.9531163584402,27.4969897342317,62.202512282681,"Complex Processing",5
"Non-carrier",24,646.395833333333,88.4563241731866,18.0560715622104,37.3518298514374,"Complex Processing",5
"Carrier",10,2368.35,912.263913142585,288.483179270858,652.594290334371,"Abstract Matching",6
"Non-carrier",24,2109.08333333333,556.134966936332,113.520574759467,234.835200915317,"Abstract Matching",6
