"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",4,314.75,44.010415433925,22.0052077169625,70.0303919958479,"Motor Processing",1
"Non-carrier",13,320.653846153846,33.0217003242972,9.1585718247892,19.9548137932795,"Motor Processing",1
"Carrier",4,524.75,80.8099622571376,40.4049811285688,128.586682907672,"Choice Reaction",3
"Non-carrier",13,522.923076923077,84.7402516895617,23.5027171201876,51.2080215935043,"Choice Reaction",3
"Carrier",4,957.625,324.436787628448,162.218393814224,516.251328043135,"Simple Processing",4
"Non-carrier",13,963.769230769231,224.316704626202,62.2142600363756,135.553227955508,"Simple Processing",4
"Carrier",4,430,41.6333199893227,20.8166599946613,66.2479026883571,"Attention",2
"Non-carrier",13,453.038461538462,51.2105382784562,14.2032478159296,30.9462185642905,"Attention",2
"Carrier",4,579.75,43.3618495915476,21.6809247957738,68.9983790114443,"Complex Processing",5
"Non-carrier",13,651.346153846154,87.3683258336473,24.231613741897,52.7961509043858,"Complex Processing",5
"Carrier",4,2044.5,902.854916362535,451.427458181267,1436.64364639259,"Abstract Matching",6
"Non-carrier",13,2080.34615384615,367.952973932323,102.051793420958,222.351756796133,"Abstract Matching",6
