"Group","N","Value","SD","SE","CI","Task","rank"
"Carrier",6,391.5,220.243955649185,89.9142183787785,231.131856529925,"Motor Processing",1
"Non-carrier",10,351,58.2046199006383,18.405916923038,41.6370768053192,"Motor Processing",1
"Carrier",6,688,173.590034276165,70.8678347348076,182.171568700173,"Choice Reaction",3
"Non-carrier",10,579.8,62.0408467597491,19.6190383726284,44.3813481818542,"Choice Reaction",3
"Carrier",6,1209.66666666667,446.878357796243,182.437325615615,468.970075369566,"Simple Processing",4
"Non-carrier",10,1118.8,343.206627105143,108.531464971633,245.515230874563,"Simple Processing",4
"Carrier",6,438.25,22.3243140992058,9.11386306677909,23.427930851939,"Attention",2
"Non-carrier",10,455.9,38.4605136615609,12.1622823150555,27.5129940549767,"Attention",2
"Carrier",6,694.833333333333,78.2570550600179,31.9483089449887,82.1257426532851,"Complex Processing",5
"Non-carrier",10,646.6,96.400726138344,30.4845862691295,68.9609251836511,"Complex Processing",5
"Carrier",6,2584.25,932.244160614589,380.587084865825,978.330247233866,"Abstract Matching",6
"Non-carrier",10,2217.35,734.707502268004,232.334912118022,525.578085615874,"Abstract Matching",6
