"Subject","Trials","IIV"
"10000",93,0.772498440398672
"10001",95,1.24865730101012
"10003",99,1.06413769736575
"101366",97,0.601244455317503
"101657",93,1.17515773293207
"102257",98,0.993754842755216
"102439.01",98,0.793366739379675
"102439",92,0.986836518492943
"103364.01",89,1.0736939324644
"103907",97,0.588365505038923
"105577",87,1.16522591592698
"106721.01",94,0.957698167005954
"106722.01",96,0.894505004976589
"106880",58,1.63196370982487
"106936",97,0.643751880026376
"107196",98,0.65309727612124
"110661",89,1.1993786703086
"110828",98,0.942181732268364
"112761",93,1.39211358659293
"113111",94,0.636305040867727
"114713",98,0.699511501072227
"115919",92,1.34978855428074
"117158",83,0.875075790371881
"117223",76,1.70068064366378
"117297",90,1.52932054757809
"117326",88,1.23944928296595
"117939",96,0.790504347966729
"118259",97,0.829156086102367
"118418",96,1.01936114595706
"118594",89,1.86133673841781
"118601",90,1.74231367261251
"118700",93,0.768901723914383
"118764",94,1.00360760360021
"118775",94,0.991518116401714
"118835",95,1.0101405770857
"118877",95,1.05025953719175
"118916",96,1.10737565221676
"119264",90,1.25427763417253
"119271",96,1.16268065309936
"119384",97,0.683928972165563
"119492",98,0.856596777684251
"119522",93,1.68706135244169
"119523",98,1.08675394991097
"119570",96,0.625057765261918
"119578",91,1.37629636067638
"119589",88,1.16130643649118
"119604",97,0.950920796663076
"119864",93,0.89359545650329
"119913.01",98,0.952339136284163
"121407",89,0.735481647615478
"122522",91,0.849824310431286
"132566",93,0.846598722903642
"15305",93,0.557859870566054
"17621",90,0.689981622116569
"18121",84,1.17155975191789
"18167",93,0.676185749341801
"18199",94,0.721133360200223
"19494",87,0.673495435419964
"19525",92,0.865178831179036
"19541",94,0.673897124836716
"19542",94,0.894541983770154
"19607",98,0.707539633864699
"19615",90,1.4407089094371
"80557",97,1.01794570703796
"81760",95,0.671780653884436
"82039",94,0.771953808219378
"83835",91,0.663261794636687
"85853",95,0.631423138645839
"88760",94,0.79697059449218
"92554",92,0.783114893023239
"92927",96,0.764863047117697
"93734",95,0.574204868126864
"93856",94,0.627579087313518
"98532",94,0.543982666402972
