"Subject","task","Date","total_correct","total_incorrect","total_nonresponses","median_rt","rtcr","rter"
"10000","choice_reaction","04/21/2015",96,3,1,440,440,480
"10001","choice_reaction","03/09/2015",95,3,2,520,520,380
"10003","choice_reaction","05/29/2015",99,0,1,479,479,NA
"101366","choice_reaction","06/25/2015",99,0,1,440,440,NA
"101657","choice_reaction","05/28/2015",94,4,2,620,620,440
"102257","choice_reaction","06/12/2015",99,0,1,520,520,NA
"102439.01","choice_reaction","12/08/2014",99,0,1,520,520,NA
"102439","choice_reaction","12/08/2014",93,6,1,479,479,310
"103364.01","choice_reaction","07/27/2015",89,10,1,460,479,280
"103907","choice_reaction","12/10/2014",99,0,1,440,440,NA
"105577","choice_reaction","06/04/2015",90,5,5,619,619,600
"106721.01","choice_reaction","03/30/2015",95,3,2,500,500,460
"106722.01","choice_reaction","03/30/2015",96,3,1,400,400,300
"106880","choice_reaction","04/26/2017",59,32,9,520,520,499.5
"106936","choice_reaction","12/04/2014",99,0,1,480,480,NA
"107196","choice_reaction","12/16/2016",98,1,1,460,460,420
"109545.01","choice_reaction","05/05/2015",2,3,95,679,650,679
"110140","choice_reaction","05/04/2015",4,5,91,920,889.5,1039
"110661","choice_reaction","03/23/2015",95,2,3,580,580,480
"110828","choice_reaction","05/17/2016",99,0,1,580,580,NA
"112761","choice_reaction","06/11/2015",94,4,2,660,660,409.5
"113111","choice_reaction","05/14/2015",97,2,1,420,420,700
"114713","choice_reaction","04/16/2016",98,1,1,400,400,380
"115919","choice_reaction","04/27/2015",96,2,2,640,640,320
"117158","choice_reaction","04/22/2015",85,13,2,500,519,440
"117223","choice_reaction","04/07/2015",76,14,10,560,550,560
"117297","choice_reaction","04/20/2015",92,3,5,460,460,500
"117326","choice_reaction","05/20/2015",89,10,1,560,560,510
"117939","choice_reaction","03/18/2015",96,2,2,480,480,430
"118259","choice_reaction","04/20/2015",98,1,1,540,540,459
"118418","choice_reaction","04/22/2015",97,2,1,500,480,600
"118594","choice_reaction","01/07/2015",90,8,2,629.5,640,479.5
"118601","choice_reaction","04/08/2015",90,7,3,680,680,520
"118700","choice_reaction","03/12/2015",93,6,1,460,460,320
"118764","choice_reaction","04/03/2015",97,2,1,500,500,310
"118775","choice_reaction","03/17/2015",95,4,1,540,540,600
"118834","choice_reaction","03/11/2015",44,30,26,699.5,679.5,719.5
"118835","choice_reaction","06/22/2015",95,3,2,520,520,480
"118877","choice_reaction","04/28/2015",96,3,1,499,499,440
"118916","choice_reaction","05/14/2015",97,1,2,620,620,719
"119264","choice_reaction","04/29/2015",94,1,5,619,619,700
"119271","choice_reaction","04/13/2015",96,3,1,520,520,380
"119384","choice_reaction","04/06/2015",98,1,1,440,440,259
"119492","choice_reaction","04/15/2015",98,1,1,519,519,540
"119522","choice_reaction","05/29/2015",93,1,6,780,780,320
"119523","choice_reaction","05/29/2015",99,0,1,619,619,NA
"119570","choice_reaction","04/15/2015",98,1,1,460,460,420
"119578","choice_reaction","04/01/2015",94,5,1,500,509.5,360
"119589","choice_reaction","03/25/2015",92,6,2,580,580,509.5
"119604","choice_reaction","04/09/2015",99,0,1,500,500,NA
"119864","choice_reaction","06/01/2015",94,5,1,440,449.5,320
"119913.01","choice_reaction","06/22/2015",99,0,1,540,540,NA
"119913","choice_reaction","06/22/2015",32,28,40,760,839.5,700
"121407","choice_reaction","01/07/2015",93,6,1,420,420,389.5
"122522","choice_reaction","09/24/2015",92,7,1,440,440,380
"132566","choice_reaction","03/29/2016",95,4,1,420,420,420
"15305","choice_reaction","2/4/15",96,3,1,380,380,360
"17621","choice_reaction","12/15/2014",91,8,1,380,380,380
"18121","choice_reaction","12/12/14",87,12,1,520,540,450
"18167","choice_reaction","10/06/2015",95,4,1,380,380,380
"18199","choice_reaction","1/7/15",94,5,1,400,400,400
"19494","choice_reaction","01/26/2016",92,7,1,419,419,400
"19525","choice_reaction","04/22/2017",92,7,1,440,440,420
"19541","choice_reaction","04/20/2016",95,4,1,419,419,420
"19542","choice_reaction","04/18/2016",95,4,1,476,480,340
"19607","choice_reaction","06/28/2016",98,1,1,400,400,360
"19615","choice_reaction","06/21/2016",94,4,2,559.5,560,230
"80557","choice_reaction","02/24/2017",99,0,1,520,520,NA
"81760","choice_reaction","04/28/2016",96,3,1,420,420,340
"82039","choice_reaction","2/6/15",95,4,1,420,420,400
"83835","choice_reaction","02/26/2015",92,7,1,380,399.5,340
"85853","choice_reaction","02/22/2017",98,0,2,479,479,NA
"88760","choice_reaction","02/11/2017",96,3,1,380,390,360
"92554","choice_reaction","05/04/2016",93,6,1,420,420,380
"92927","choice_reaction","04/13/2017",98,1,1,420,429.5,340
"93734","choice_reaction","04/29/2017",95,4,1,400,400,350
"93856","choice_reaction","10/23/2015",97,2,1,420,420,399.5
"98532","choice_reaction","04/14/2017",94,5,1,380,380,360
