"Subject","task","Date","total_correct","total_incorrect","total_nonresponses","median_rt","rtcr","rter","animal_correct","vegetable_correct","animal_incorrect","vegetable_incorrect","animal_rt","vegetable_rt"
"10000","complex_processing_speed","04/21/2015",33,2,1,500,500,560,15,18,2,0,540,470
"10001","complex_processing_speed","03/09/2015",30,5,1,580,569.5,700,13,17,4,1,620,560
"10003","complex_processing_speed","05/29/2015",32,2,2,590,600,220,15,17,2,0,580,600
"101366","complex_processing_speed","06/25/2015",27,6,3,579,560,639.5,14,13,2,4,609.5,500
"101657","complex_processing_speed","05/28/2015",28,5,3,740,750,680,15,13,0,5,780,729.5
"102257","complex_processing_speed","06/12/2015",31,4,1,600,620,479.5,14,17,3,1,560,620
"102439.01","complex_processing_speed","12/08/2014",23,2,11,699,739,250,11,12,1,1,660,740
"102439","complex_processing_speed","12/08/2014",33,2,1,620,620,470,16,17,1,1,600,630
"103364.01","complex_processing_speed","07/27/2015",30,5,1,540,540,500,12,18,5,0,560,510
"103907","complex_processing_speed","12/10/2014",34,1,1,540,540,520,16,18,1,0,559,529.5
"105577","complex_processing_speed","06/04/2015",4,2,30,580,700,500,3,1,1,1,580,730
"106721.01","complex_processing_speed","03/30/2015",32,2,2,600,600,479.5,16,16,1,1,620,540
"106722.01","complex_processing_speed","03/30/2015",31,4,1,560,560,470,14,17,3,1,500,560
"106880","complex_processing_speed","04/26/2017",27,8,1,579,580,560,14,13,3,5,579,579.5
"106936","complex_processing_speed","12/04/2014",26,2,8,589.5,609,360,10,16,1,1,620,580
"107196","complex_processing_speed","12/16/2016",32,3,1,580,580,540,17,15,0,3,600,559.5
"109545.01","complex_processing_speed","05/05/2015",3,3,30,510,439,560,2,1,3,0,560,320
"110140","complex_processing_speed","05/04/2015",10,6,20,649.5,790,240,6,4,2,4,790,589.5
"110661","complex_processing_speed","03/23/2015",17,3,16,790,820,739,6,11,1,2,759,820
"110828","complex_processing_speed","05/17/2016",12,7,17,640,590,859,7,5,4,3,640,579.5
"112761","complex_processing_speed","06/11/2015",25,1,10,799.5,800,20,14,11,1,0,800,760
"113111","complex_processing_speed","05/14/2015",34,1,1,500,500,440,16,18,1,0,539,490
"114713","complex_processing_speed","04/16/2016",32,3,1,440,450,440,17,15,0,3,440,490
"115919","complex_processing_speed","04/27/2015",17,6,13,600,640,360,9,8,3,3,620,539
"117158","complex_processing_speed","04/22/2015",26,7,3,680,699.5,619,12,14,5,2,619,700
"117223","complex_processing_speed","04/07/2015",21,4,11,599,620,490,7,14,4,0,679,560
"117297","complex_processing_speed","04/20/2015",14,15,7,620,570,640,9,5,5,10,620,560
"117326","complex_processing_speed","05/20/2015",27,6,3,600,600,640,14,13,2,4,620,579
"117939","complex_processing_speed","03/18/2015",33,2,1,620,619,629.5,17,16,0,2,600,620
"118259","complex_processing_speed","04/20/2015",22,5,9,659,670,540,8,14,3,2,640,659
"118418","complex_processing_speed","04/22/2015",34,0,2,600,600,NA,16,18,0,0,600,630
"118594","complex_processing_speed","01/07/2015",32,2,2,710,729.5,260,16,16,1,1,660,740
"118601","complex_processing_speed","04/08/2015",19,9,8,619.5,639,480,10,9,5,4,660,560
"118700","complex_processing_speed","03/12/2015",32,3,1,559,559,460,15,17,2,1,580,520
"118764","complex_processing_speed","04/03/2015",34,1,1,540,540,460,17,17,0,1,540,540
"118775","complex_processing_speed","03/17/2015",32,3,1,620,649.5,520,15,17,2,1,620,639.5
"118834","complex_processing_speed","03/11/2015",30,5,1,580,610,520,14,16,3,2,580,600
