"Subject","task","Date","total_correct","total_incorrect","total_nonresponses","median_rt","rtcr","rter"
"10000","complex_rc","04/21/2015",9,11,28,639.5,600,640
"10001","complex_rc","03/09/2015",9,12,27,740,740,749
"10003","complex_rc","05/29/2015",9,12,27,820,840,710
"101366","complex_rc","06/25/2015",9,13,26,640,640,640
"101657","complex_rc","05/28/2015",8,11,29,719,660,800
"102257","complex_rc","06/12/2015",7,14,27,860,820,900
"102439.01","complex_rc","12/08/2014",8,12,28,830,760,939.5
"102439","complex_rc","12/08/2014",9,11,28,740,700,740
"103364.01","complex_rc","07/27/2015",9,12,27,620,600,680
"103907","complex_rc","12/10/2014",9,11,28,600,579,640
"105577","complex_rc","06/04/2015",10,11,27,700,680,720
"106721.01","complex_rc","03/30/2015",8,10,30,740,750,730
"106722.01","complex_rc","03/30/2015",9,11,28,730,740,720
"106880","complex_rc","04/26/2017",8,11,29,580,570,620
"106936","complex_rc","12/04/2014",10,11,27,580,689.5,560
"107196","complex_rc","12/16/2016",9,12,27,580,620,579.5
"109545.01","complex_rc","05/05/2015",8,11,29,740,739.5,740
"110140","complex_rc","05/04/2015",8,11,29,820,939.5,700
"110661","complex_rc","03/23/2015",9,12,27,660,640,670
"110828","complex_rc","05/17/2016",9,9,30,779.5,760,820
"112761","complex_rc","06/11/2015",8,11,29,840,810,900
"113111","complex_rc","05/14/2015",9,12,27,600,620,580
"114713","complex_rc","04/16/2016",9,13,26,570,560,580
"115919","complex_rc","04/27/2015",7,12,29,940,920,970
"117158","complex_rc","04/22/2015",9,12,27,900,879,1030
"117223","complex_rc","04/07/2015",7,11,30,720,720,720
"117297","complex_rc","04/20/2015",10,11,27,640,599.5,660
"117326","complex_rc","05/20/2015",9,14,25,680,680,670
"117939","complex_rc","03/18/2015",9,12,27,640,640,640
"118259","complex_rc","04/20/2015",8,11,29,760,820,760
"118418","complex_rc","04/22/2015",8,11,29,780,780,760
"118594","complex_rc","01/07/2015",9,11,28,720,780,720
"118601","complex_rc","04/08/2015",9,11,28,680,660,680
"118700","complex_rc","03/12/2015",8,12,28,770,760,820
"118764","complex_rc","04/03/2015",9,12,27,680,740,640
"118775","complex_rc","03/17/2015",9,11,28,619.5,620,619
"118834","complex_rc","03/11/2015",4,9,35,700,610,919
"118835","complex_rc","06/22/2015",9,12,27,800,780,880
"118877","complex_rc","04/28/2015",8,11,29,680,820,680
"118916","complex_rc","05/14/2015",9,12,27,780,799,770
"119264","complex_rc","04/29/2015",8,11,29,840,779.5,840
"119271","complex_rc","04/13/2015",9,11,28,839.5,760,979
"119384","complex_rc","04/06/2015",9,12,27,700,700,680
"119492","complex_rc","04/15/2015",9,12,27,740,740,780
"119522","complex_rc","05/29/2015",9,12,27,760,760,760
"119523","complex_rc","05/29/2015",8,10,30,759.5,730,849.5
"119570","complex_rc","04/15/2015",8,11,29,640,640,640
"119578","complex_rc","04/01/2015",9,11,28,609.5,620,600
"119589","complex_rc","03/25/2015",8,11,29,759,799.5,740
"119604","complex_rc","04/09/2015",9,11,28,800,820,800
"119864","complex_rc","06/01/2015",9,12,27,660,660,730
"119913.01","complex_rc","06/22/2015",9,12,27,699,660,709.5
"119913","complex_rc","06/22/2015",9,11,28,589.5,580,700
"121407","complex_rc","01/07/2015",9,13,26,600,600,620
"122522","complex_rc","09/24/2015",9,12,27,680,620,680
"132566","complex_rc","03/29/2016",9,12,27,620,600,630
"15305","complex_rc","2/4/15",9,13,26,580,580,599
"17621","complex_rc","12/15/2014",9,13,26,560,560,619
"18121","complex_rc","12/12/14",8,11,29,660,630,660
"18167","complex_rc","10/06/2015",9,12,27,620,620,660
"18199","complex_rc","1/7/15",9,12,27,560,560,559.5
"19494","complex_rc","01/26/2016",9,12,27,680,680,670
"19525","complex_rc","04/22/2017",9,13,26,629.5,600,639
"19541","complex_rc","04/20/2016",8,12,28,660,660,699.5
"19542","complex_rc","04/18/2016",10,12,26,570,550,620
"19607","complex_rc","06/28/2016",9,12,27,580,600,569.5
"19615","complex_rc","06/21/2016",8,12,28,600,600,629.5
"80557","complex_rc","02/24/2017",9,13,26,700,679,740
"81760","complex_rc","04/28/2016",9,12,27,520,620,510
"82039","complex_rc","02/06/2015",9,14,25,580,580,580
"83835","complex_rc","02/26/2015",9,14,25,580,520,600
"85853","complex_rc","02/22/2017",9,10,29,680,680,650
"88760","complex_rc","02/11/2017",9,12,27,580,580,570
"92554","complex_rc","05/04/2016",9,12,27,640,600,650
"92927","complex_rc","04/13/2017",9,12,27,699,720,659.5
"93734","complex_rc","04/29/2017",9,11,28,550,540,560
"93856","complex_rc","10/23/2015",9,12,27,620,639,609.5
"98532","complex_rc","04/14/2017",9,13,26,580,600,580
