"Subject","task","Date","total_nonresponses","median_rt","mean_clock_time"
"10000","reaction","04/21/2015",0,260,168183.5
"10001","reaction","03/09/2015",0,360,141262.5
"10003","reaction","05/29/2015",0,340,152800.5
"101366","reaction","06/25/2015",0,279.5,166017.5
"101657","reaction","05/28/2015",1,300,148621
"102257","reaction","06/12/2015",0,320,168521.5
"102439.01","reaction","12/08/2014",0,340,149342
"102439","reaction","12/08/2014",0,300,127307.5
"103364.01","reaction","07/27/2015",0,300,135035
"103907","reaction","12/10/2014",0,260,116436
"105577","reaction","06/04/2015",0,360,137444.5
"106721.01","reaction","03/30/2015",0,349.5,131115
"106722.01","reaction","03/30/2015",0,320,141882
"106880","reaction","04/26/2017",0,260,145810
"106936","reaction","12/04/2014",0,339.5,136043.5
"107196","reaction","12/16/2016",0,360,144613
"109545.01","reaction","05/05/2015",1,300,261313
"110140","reaction","05/04/2015",0,260,160818.5
"110661","reaction","03/23/2015",0,420,139042.5
"110828","reaction","05/17/2016",0,340,120126.5
"112761","reaction","06/11/2015",0,310,194014.5
"113111","reaction","05/14/2015",0,320,126027.5
"114713","reaction","04/16/2016",0,280,124725
"115919","reaction","04/27/2015",0,359,159766.5
"117158","reaction","04/22/2015",0,320,128514.5
"117223","reaction","04/07/2015",0,360,175062
"117297","reaction","04/20/2015",0,360,130564.5
"117326","reaction","05/20/2015",0,340,148261.5
"117939","reaction","03/18/2015",0,470,129015.5
"118259","reaction","04/20/2015",0,299.5,161195.5
"118418","reaction","04/22/2015",0,390,134912.5
"118594","reaction","01/07/2015",0,320,132576.5
"118601","reaction","04/08/2015",0,300,154807.5
"118700","reaction","03/12/2015",0,260,134474
"118764","reaction","04/03/2015",0,270,131203.5
"118775","reaction","03/17/2015",0,280,132354.5
"118834","reaction","03/11/2015",0,360,143091.5
"118835","reaction","06/22/2015",0,340,117836
"118877","reaction","04/28/2015",0,460,197776.5
"118916","reaction","05/14/2015",0,360,128316.5
"119264","reaction","04/29/2015",0,360,140013.5
"119271","reaction","04/13/2015",0,360,147619.5
"119384","reaction","04/06/2015",0,360,158796.5
"119492","reaction","04/15/2015",0,320,141081
"119522","reaction","05/29/2015",0,829.5,165217.5
"119523","reaction","05/29/2015",0,340,173515
"119570","reaction","04/15/2015",0,280,175082
"119578","reaction","04/01/2015",0,400,123636.5
"119589","reaction","03/25/2015",0,450,135923.5
"119604","reaction","04/09/2015",0,340,126975
"119864","reaction","06/01/2015",0,360,133645.5
"119913.01","reaction","06/22/2015",0,339.5,136330.5
"119913","reaction","06/22/2015",0,240,182327.5
"121407","reaction","01/07/2015",0,270,125628.5
"122522","reaction","09/24/2015",0,319.5,119097
"132566","reaction","03/29/2016",0,320,113776.5
"15305","reaction","2/4/15",0,259,121137.5
"17621","reaction","12/15/2014",0,320,119290
"18121","reaction","12/12/14",0,280,125833.5
"18167","reaction","10/06/2015",0,260,132746.5
"18199","reaction","1/7/15",0,300,131717
"19494","reaction","01/26/2016",0,320,119285.5
"19525","reaction","04/22/2017",0,340,128931.5
"19541","reaction","04/20/2016",0,280,125874.5
"19542","reaction","04/18/2016",0,260,124985
"19607","reaction","06/28/2016",0,320,119459
"19615","reaction","06/21/2016",0,340,113160
"80557","reaction","02/24/2017",0,570,117996
"81760","reaction","04/28/2016",0,299.5,122455.5
"82039","reaction","02/06/2015",0,280,127336
"83835","reaction","02/26/2015",0,280,115799
"85853","reaction","02/22/2017",0,360,123058.5
"88760","reaction","02/11/2017",1,300,135185
"92554","reaction","05/04/2016",0,300,114058
"92927","reaction","04/13/2017",0,340,120628.5
"93734","reaction","04/29/2017",0,260,119708.5
"93856","reaction","10/23/2015",0,280,111751.5
"98532","reaction","04/14/2017",0,340,121298.5
