"Subject","Trials","IIV"
"10000",90,0.655565751620671
"10001",91,1.21294133117598
"10003",92,0.800172365805835
"101366",93,0.755021735888723
"101657",91,1.41946288601963
"102257",86,1.21624484481969
"102439.01",88,1.23156938895453
"102439",92,0.828168073924059
"103364.01",89,0.811450471439354
"103907",92,0.784811694062775
"105577",93,1.45900195502878
"106721.01",90,0.918338889303526
"106722.01",91,0.574794367147793
"106880",85,1.12171566950891
"106936",91,0.630802912971327
"107196",86,0.547673195671487
"109545.01",82,2.12002137997666
"110140",62,2.13686472699119
"110661",85,0.815641381190397
"110828",86,0.830211357646521
"112761",88,1.39942090377119
"113111",93,0.467145553581646
"114713",93,0.589367738407508
"115919",88,1.20390905346404
"117158",80,1.5529124723612
"117223",82,1.60687650544917
"117297",89,1.01768344938342
"117326",89,1.07696573515624
"117939",91,0.425996233251455
"118259",94,1.08486312107315
"118418",94,0.750699919002353
"118594",92,0.928003379618242
"118601",86,1.55075662212304
"118700",82,0.801485354582434
"118764",90,0.68723263445392
"118775",90,0.891829837616592
"118834",94,1.0471868631159
"118835",88,1.25131636260609
"118877",88,1.32452003761666
"118916",95,0.668615722566649
"119264",87,1.83816744227132
"119271",86,0.828929484686148
"119384",91,1.03354135165878
"119492",90,1.03428531538754
"119522",89,0.702075349055596
"119523",95,0.904447240920482
"119570",91,0.697092487331411
"119578",94,1.36622440136204
"119589",84,1.64346938302938
"119604",91,0.878488089488004
"119864",91,0.923113345780443
"119913.01",93,0.627617686244274
"119913",87,1.10025476024894
"121407",86,0.500098557481659
"122522",89,0.795599034051097
"132566",91,0.573660871298894
"15305",91,0.504396318906795
"17621",91,0.473684334856338
"18121",87,2.08618508407686
"18167",89,0.394765219792728
"18199",92,0.600538559353106
"19494",91,0.63126658302351
"19525",89,0.695234556065382
"19541",90,0.56476576938895
"19542",93,0.677527479048679
"19607",91,0.673557459744361
"19615",88,0.837268934940594
"80557",91,0.787288228958047
"81760",93,0.524969741936759
"82039",86,0.488187361747257
"83835",90,0.588769404344144
"85853",93,0.810800382283509
"88760",80,1.5327602177328
"92554",85,0.721561780245826
"92927",89,0.619833036989907
"93734",94,0.450982799494655
"93856",91,0.547692613006653
"98532",89,0.439161616613691
