"Subject","task","Date","total_correct","total_incorrect","total_nonresponses","median_rt","rtcr","rter","weapon_correct","bird_correct","furniture_correct","occupation_correct","weapon_incorrect","bird_incorrect","furniture_incorrect","occupation_incorrect","weapon_rt","bird_rt","furniture_rt","occupation_rt"
"10000","simple_processing_speed","04/21/2015",90,5,1,660,670,580,26,28,24,12,2,0,4,0,800,670,620.5,600
"10001","simple_processing_speed","03/09/2015",93,2,1,1000,1000,870,27,26,28,12,1,2,0,0,1040,920,1100,700.5
"10003","simple_processing_speed","05/29/2015",94,1,1,980,980,980,26,28,28,12,2,0,0,0,1100,930.5,970,880
"101366","simple_processing_speed","06/25/2015",95,0,1,780,780,NA,27,28,28,12,1,0,0,0,820,750,770,780
"101657","simple_processing_speed","05/28/2015",92,2,2,1270,1300,930,26,27,27,12,3,1,0,0,1419,1130,1300,1120
"102257","simple_processing_speed","06/12/2015",87,8,1,1320,1360,930,26,25,24,12,2,3,4,0,1420,1300,1379.5,1150
"102439.01","simple_processing_speed","12/08/2014",89,6,1,1000,1000,900,24,26,27,12,4,2,1,0,920,1040,1020,950.5
"102439","simple_processing_speed","12/08/2014",93,2,1,940,940,760,26,28,27,12,2,0,1,0,880,960,840,960
"103364.01","simple_processing_speed","07/27/2015",91,4,1,880,880,770,23,28,28,12,5,0,0,0,980,850,830,830
"103907","simple_processing_speed","12/10/2014",92,3,1,760,759.5,760,27,28,27,10,1,0,1,2,739,740,770,700
"105577","simple_processing_speed","06/04/2015",94,1,1,1240,1240,1000,27,27,28,12,1,1,0,0,1260,1010,1320,1230
"106721.01","simple_processing_speed","03/30/2015",91,4,1,980,980,910,24,28,27,12,4,0,1,0,1080,970.5,930,920.5
"106722.01","simple_processing_speed","03/30/2015",91,4,1,680,680,890,25,28,27,11,3,0,1,1,720,660,730,650
"106880","simple_processing_speed","04/26/2017",86,9,1,900,900,760,22,28,24,12,6,0,4,0,920,889.5,900,870
